estimator,group,scenario,seed,rms_angle_deg,rms_roll_deg,rms_pitch_deg,rms_yaw_deg,max_angle_deg,ss_rms_angle_deg,conv_time,bias_rmse_dps,diverged,ns_per_step,bytes
Madgwick-Gated,attitude,high_dynamics,2,5.75428,3.20508,2.99483,3.75459,17.6733,6.60313,-1,0.252415,0,130.026,272
Mahony,attitude,high_dynamics,2,18.5935,6.40199,2.98451,17.4601,75.7005,19.6854,-1,1.25953,1,127.537,312
Mahony-Gated,attitude,high_dynamics,2,4.28924,1.41241,0.954442,3.90953,14.005,5.32075,693.42,0.198224,0,127.065,312
MEKF,attitude,high_dynamics,2,3.49817,1.20753,0.80526,3.19037,14.3278,4.17883,-1,0.202805,0,2031.57,608
InvariantEKF,attitude,high_dynamics,2,3.4713,1.19972,0.798079,3.16604,14.3567,4.13174,-1,0.20278,0,1898.31,608
TRIAD,attitude,high_dynamics,2,20.9848,9.79504,1.58939,18.5687,144.061,23.0023,-1,1.06417,1,128.145,120
QUEST,attitude,high_dynamics,2,20.6295,9.12286,1.54082,18.5773,143.798,22.6009,-1,1.06417,1,215.729,120
Complementary,attitude,high_dynamics,3,6.51883,2.928,1.20689,5.63182,15.0614,8.32623,113.23,1.39263,0,350.598,272
Madgwick,attitude,high_dynamics,3,18.4971,9.43324,1.41559,16.0964,83.012,19.5826,-1,1.39263,1,110.848,272
Madgwick-Gated,attitude,high_dynamics,3,5.34958,2.53487,2.30828,4.13104,18.8304,6.29746,-1,0.231372,0,129.244,272
Mahony,attitude,high_dynamics,3,18.8441,6.41961,3.02344,17.7383,78.1326,19.5913,-1,1.26041,1,130.467,312
Mahony-Gated,attitude,high_dynamics,3,3.77661,1.09427,1.06929,3.46254,13.5021,4.45052,33.37,0.156783,0,130.259,312
MEKF,attitude,high_dynamics,3,3.25987,1.13761,0.749793,2.97709,11.8125,3.88043,470.87,0.195843,0,2039.62,608
InvariantEKF,attitude,high_dynamics,3,3.23957,1.13194,0.743839,2.95848,11.7942,3.84535,470.87,0.195623,0,1908.89,608
TRIAD,attitude,high_dynamics,3,20.9731,9.79558,1.58953,18.5557,137.362,23.0009,-1,1.39263,1,124.549,120
QUEST,attitude,high_dynamics,3,20.6178,9.12295,1.54153,18.5642,137.088,22.5998,-1,1.39263,1,214.042,120
