estimator,flight,Q_true,Q_est,Q_err,soc_rmse_flight,ah_throughput
JointEKF,109,4.00552,4.02672,0.0212013,0.00153162,824.208
JointEKF,110,4.00048,4.02078,0.0202983,0.00154712,831.731
JointEKF,111,3.99543,4.01449,0.0190523,0.00134147,839.317
JointEKF,112,3.99042,4.01056,0.0201393,0.00162659,846.862
JointEKF,113,3.98546,4.00325,0.0177942,0.00140939,854.362
JointEKF,114,3.98049,3.99956,0.0190753,0.00135486,861.918
JointEKF,115,3.97552,3.99595,0.0204255,0.00159702,869.488
JointEKF,116,3.97057,3.99111,0.0205463,0.00145632,877.057
JointEKF,117,3.96564,3.98584,0.0201957,0.00154901,884.607
JointEKF,118,3.96074,3.97919,0.0184504,0.0015946,892.151
JointEKF,119,3.95588,3.97481,0.0189276,0.00136715,899.667
JointEKF,120,3.951,3.9716,0.020599,0.00158122,907.246
JointUKF,1,4.95004,4.99063,0.0405838,0.00141905,7.90273
JointUKF,2,4.90434,4.96118,0.0568426,0.00124465,15.506
JointUKF,3,4.87365,4.93028,0.056626,0.00112633,23.0697
JointUKF,4,4.84828,4.90084,0.0525694,0.00101726,30.6549
JointUKF,5,4.82621,4.87715,0.0509421,0.00123497,38.1496
JointUKF,6,4.80627,4.85305,0.0467754,0.000870981,45.6697
JointUKF,7,4.78792,4.83541,0.0474893,0.00108645,53.1846
JointUKF,8,4.77063,4.81747,0.0468401,0.00114583,60.7785
JointUKF,9,4.75429,4.80001,0.0457155,0.000915723,68.3705
JointUKF,10,4.7389,4.7859,0.047003,0.000973057,75.894
JointUKF,11,4.7242,4.76994,0.0457376,0.00104464,83.4926
JointUKF,12,4.71019,4.75377,0.0435752,0.00103664,91.0033
JointUKF,13,4.69676,4.7404,0.0436432,0.000648515,98.5172
JointUKF,14,4.68371,4.72585,0.0421333,0.0010775,106.105
JointUKF,15,4.67106,4.71429,0.0432355,0.000894624,113.663
JointUKF,16,4.65885,4.70113,0.042282,0.000871998,121.223
JointUKF,17,4.64698,4.68968,0.0427021,0.000743455,128.773
JointUKF,18,4.63541,4.67758,0.0421646,0.000846017,136.344
JointUKF,19,4.62426,4.66671,0.0424574,0.000708771,143.811
JointUKF,20,4.61327,4.65624,0.042961,0.000937644,151.403
JointUKF,21,4.60251,4.64411,0.0415911,0.00102307,158.975
JointUKF,22,4.59198,4.63319,0.0412158,0.000797323,166.553
JointUKF,23,4.58173,4.62054,0.0388183,0.00078712,174.057
JointUKF,24,4.57167,4.61069,0.039019,0.000861366,181.614
JointUKF,25,4.56173,4.60173,0.0400061,0.000851538,189.225
JointUKF,26,4.55203,4.59103,0.0390085,0.00075181,196.723
JointUKF,27,4.54253,4.58229,0.039755,0.00086627,204.251
JointUKF,28,4.53314,4.57121,0.0380716,0.000785832,211.803
JointUKF,29,4.5239,4.56086,0.0369581,0.000751351,219.361
JointUKF,30,4.51476,4.54997,0.0352149,0.00082824,226.967
JointUKF,31,4.50582,4.54138,0.0355557,0.000644212,234.495
JointUKF,32,4.49706,4.53518,0.0381221,0.000713683,241.991
JointUKF,33,4.48836,4.526,0.0376378,0.000622057,249.556
JointUKF,34,4.47968,4.51617,0.0364848,0.000645425,257.186
JointUKF,35,4.47118,4.50625,0.0350682,0.000600391,264.745
JointUKF,36,4.46283,4.4965,0.0336663,0.000595102,272.267
JointUKF,37,4.45471,4.49117,0.036467,0.000743593,279.697
JointUKF,38,4.44663,4.48237,0.0357407,0.000704322,287.232
JointUKF,39,4.4386,4.47345,0.0348454,0.00047477,294.752
JointUKF,40,4.43059,4.46397,0.0333784,0.000565927,302.375
JointUKF,41,4.42264,4.45246,0.0298218,0.000515642,309.955
JointUKF,42,4.41481,4.444,0.0291896,0.000585871,317.547
