t,gx,gy,gz,ax,ay,az,mx,my,mz,qw,qx,qy,qz,bgx,bgy,bgz
1.25,-0.0124933,-0.0202259,0.00138937,0.340501,-0.31911,-9.50373,19.8318,0.00292145,44.5382,0.999848,0.016261,0.00634709,0.000245383,0.00910928,-0.00532248,0.0031715
1.26,-0.0154232,-0.0192307,0.00371426,0.304972,-0.34099,-9.39997,20.5483,0.840006,43.7626,0.99985,0.0161431,0.00626947,0.000234666,0.00916041,-0.00525733,0.00315471
1.27,-0.0160961,-0.0212987,-0.000595783,0.350587,-0.415125,-9.48295,19.9325,0.381033,44.2716,0.999852,0.0160227,0.00619195,0.000223876,0.00913295,-0.00524618,0.00313093
1.28,-0.0142687,-0.0196142,-0.00261398,0.336428,-0.306466,-9.44941,20.4771,1.5297,43.7643,0.999855,0.0159001,0.00611456,0.00021301,0.00911555,-0.00519239,0.00321964
1.29,-0.0166757,-0.0220748,0.00143216,0.232292,-0.251857,-9.54941,20.5992,0.802098,43.0615,0.999857,0.0157752,0.00603731,0.000202068,0.00911452,-0.00517189,0.00322111
1.3,-0.021112,-0.0214952,0.00252872,0.345743,-0.334694,-9.48591,19.4151,1.52005,43.8151,0.99986,0.0156483,0.00596024,0.000191049,0.00909457,-0.00519127,0.00323276
1.31,-0.0183825,-0.0204751,0.000634688,0.275115,-0.351693,-9.54843,20.3748,0.969196,43.6491,0.999862,0.0155193,0.00588335,0.000179952,0.00909199,-0.00520859,0.00327259
1.32,-0.0183766,-0.0210436,0.00182936,0.29635,-0.414106,-9.50306,19.7191,1.55667,44.5225,0.999865,0.0153885,0.00580668,0.000168777,0.00908006,-0.00518416,0.00329069
1.33,-0.0193631,-0.0174943,-0.00191306,0.284571,-0.342797,-9.44131,18.9682,1.53829,44.1291,0.999867,0.015256,0.00573024,0.000157521,0.00911012,-0.00510566,0.00326282
1.34,-0.0184803,-0.0227685,-0.000615253,0.330186,-0.359844,-9.5309,19.8067,1.60271,42.8348,0.99987,0.0151218,0.00565406,0.000146184,0.00907317,-0.00512258,0.00320786
1.35,-0.0184636,-0.0205267,0.00341693,0.380773,-0.326431,-9.46068,20.0563,0.955219,43.9735,0.999872,0.014986,0.00557815,0.000134766,0.00902631,-0.0050949,0.00327247
1.36,-0.018308,-0.0217146,0.00345911,0.316521,-0.349302,-9.46556,20.7761,1.1602,43.5153,0.999875,0.0148489,0.00550254,0.000123266,0.009067,-0.00514615,0.0032364
1.37,-0.0198545,-0.0190424,-0.00342423,0.320499,-0.36382,-9.47393,20.0373,0.882578,43.8514,0.999877,0.0147105,0.00542724,0.000111683,0.00903587,-0.00519093,0.00327498
1.38,-0.0189491,-0.0168046,0.0031794,0.367548,-0.325793,-9.53111,19.6037,1.23533,43.7284,0.99988,0.0145709,0.00535229,0.000100016,0.00902181,-0.00526084,0.00324
1.39,-0.018525,-0.0229059,0.00058395,0.233084,-0.326919,-9.4808,20.2917,1.06162,44.1274,0.999882,0.0144303,0.00527769,8.82646e-05,0.00896998,-0.00522227,0.00323844
1.4,-0.0210341,-0.0185954,0.00464477,0.314141,-0.398005,-9.44015,19.6112,0.172052,45.0376,0.999884,0.0142887,0.00520348,7.64286e-05,0.00905012,-0.00527361,0.00319307
1.41,-0.0191049,-0.0228505,0.0023783,0.281483,-0.364809,-9.48285,20.1043,1.08685,44.6935,0.999887,0.0141464,0.00512968,6.45072e-05,0.00899094,-0.00521565,0.00318356
