plant,estimator,group,profile,scenario,seed,rmse,rmse_ss,mae,max_err,final_err,conv_time,diverged,rmse_v,ns_per_step,bytes,capacity_err_end,bound_violation,bound_width,real_type
spm,PF-Bootstrap,particle,evtol,nominal,2,0.0107115,0.00855255,0.00851033,0.0293659,0.00916343,0,0,0.00104358,74321.6,46472,nan,nan,nan,double
spm,PF-Fast,particle,evtol,nominal,2,0.0103773,0.00912662,0.00787893,0.0374899,0.0133672,0,0,0.00101111,15408.4,9664,nan,nan,nan,double
spm,PF-Regularized,particle,evtol,nominal,2,0.00946967,0.00558944,0.0075125,0.0278226,0.00910004,0,0,0.00108037,79039,46464,nan,nan,nan,double
spm,PF-Auxiliary,particle,evtol,nominal,2,0.00591273,0.00255024,0.00386928,0.0240232,0.00124401,0,0,0.00115798,99858.9,54584,nan,nan,nan,double
spm,RBPF,particle,evtol,nominal,2,0.0146708,0.0121817,0.013426,0.0414748,0.0109995,0,0,0.00100913,39894,34016,nan,nan,nan,double
spm,UPF,particle,evtol,nominal,2,0.0134445,0.00731717,0.00871505,0.0541615,9.62233e-05,0,0,0.00128431,18388.6,25360,nan,nan,nan,double
spm,EnKF,particle,evtol,nominal,2,0.0241501,0.0118588,0.01723,0.066793,0.011443,496.4,0,0.0010259,9946.6,6776,nan,nan,nan,double
spm,ETKF,particle,evtol,nominal,2,0.0506845,0.0549826,0.0494063,0.0582361,-0.0575389,22.2,0,0.00104546,10371.3,5304,nan,nan,nan,double
spm,GSF,particle,evtol,nominal,2,0.022143,0.0120616,0.0160371,0.0629307,-0.0112192,0,0,0.00103535,1660.46,9192,nan,nan,nan,double
spm,NN-Direct,learning,evtol,nominal,2,0.0418188,0.0507041,0.0369267,0.109395,0.00834175,0,0,nan,488.849,15152,nan,nan,nan,double
spm,NN-EKF,learning,evtol,nominal,2,0.0249283,0.025949,0.0245905,0.0279344,-0.0238247,0,0,0.00116784,1022.35,4376,nan,nan,nan,double
spm,ELM-RLS-EKF,learning,evtol,nominal,2,0.0215032,0.0225096,0.020618,0.0242662,-0.0213322,0,0,0.000809877,3260.34,11704,nan,nan,nan,double
spm,MHE-RTI,optimization,evtol,nominal,2,0.0404084,0.0420805,0.0389143,0.0491811,-0.0395197,0,0,0.000995451,16704.9,26928,nan,nan,nan,double
spm,MHE,optimization,evtol,nominal,2,0.0437727,0.0452842,0.0418559,0.051264,-0.0395733,0,0,0.000993848,28604.1,26928,nan,nan,nan,double
spm,ERTS,smoothers,evtol,nominal,2,0.0318535,0.0324215,0.0318454,0.0332376,-0.0332376,-1,0,0.00263248,856.071,12547032,nan,nan,nan,double
spm,URTS,smoothers,evtol,nominal,2,0.0329896,0.0333696,0.0329855,0.0340886,-0.0340886,-1,0,0.0023293,2338.86,12547056,nan,nan,nan,double
spm,Batch-NLS,smoothers,evtol,nominal,2,0.0272857,0.0278286,0.0272771,0.0286504,-0.0286504,-1,0,0.000804476,4338.15,17371352,nan,nan,nan,double
spm,FixedLag-EKF,smoothers,evtol,nominal,2,0.0335552,0.0346454,0.0320798,0.0389621,-0.0331791,0,0,0.00100135,9985.87,19992,nan,nan,nan,double
spm,CoulombCounting,baselines,evtol,nominal,3,0.00360539,0.00468848,0.00316521,0.00605556,-0.00605556,0,0,0.0103367,75.5079,4184,nan,nan,nan,double
spm,OCVLookup,baselines,evtol,nominal,3,0.0179643,0.0206406,0.0137231,0.0593603,0.0134521,0,0,0.0126966,1301.95,4192,nan,nan,nan,double
