z,v_hyst,branch
0.2211,0.005000,charge
0.2239,0.005000,charge
0.2267,0.005000,charge
0.2294,0.005000,charge
0.2322,0.005000,charge
0.2350,0.005000,charge
0.2377,0.005000,charge
0.2405,0.005000,charge
0.2432,0.005000,charge
0.2460,0.005000,charge
0.2488,0.005000,charge
0.2515,0.005000,charge
0.2543,0.005000,charge
0.2571,0.005000,charge
0.2598,0.005000,charge
0.2626,0.005000,charge
0.2654,0.005000,charge
0.2681,0.005000,charge
0.2709,0.005000,charge
0.2737,0.005000,charge
0.2764,0.005000,charge
0.2792,0.005000,charge
0.2819,0.005000,charge
0.2847,0.005000,charge
0.2875,0.005000,charge
0.2902,0.005000,charge
0.2930,0.005000,charge
0.2958,0.005000,charge
0.2985,0.005000,charge
0.3013,0.005000,charge
0.3041,0.005000,charge
0.3068,0.005000,charge
0.3096,0.005000,charge
0.3123,0.005000,charge
0.3151,0.005000,charge
0.3179,0.005000,charge
0.3206,0.005000,charge
0.3234,0.005000,charge
0.3262,0.005000,charge
0.3289,0.005000,charge
0.3317,0.005000,charge
0.3345,0.005000,charge
0.3372,0.005000,charge
0.3400,0.005000,charge
0.3427,0.005000,charge
0.3455,0.005000,charge
0.3483,0.005000,charge
0.3510,0.005000,charge
0.3538,0.005000,charge
0.3566,0.005000,charge
0.3593,0.005000,charge
0.3621,0.005000,charge
0.3649,0.005000,charge
0.3676,0.005000,charge
0.3704,0.005000,charge
0.3732,0.005000,charge
0.3759,0.005000,charge
0.3787,0.005000,charge
0.3814,0.005000,charge
0.3842,0.005000,charge
0.3870,0.005000,charge
0.3897,0.005000,charge
0.3925,0.005000,charge
0.3953,0.005000,charge
0.3980,0.005000,charge
0.4008,0.005000,charge
0.4036,0.005000,charge
0.4063,0.005000,charge
0.4091,0.005000,charge
0.4118,0.005000,charge
0.4146,0.005000,charge
0.4174,0.005000,charge
0.4201,0.005000,charge
0.4229,0.005000,charge
0.4257,0.005000,charge
0.4284,0.005000,charge
0.4312,0.005000,charge
0.4340,0.005000,charge
0.4367,0.005000,charge
0.4395,0.005000,charge
0.4422,0.005000,charge
0.4450,0.005000,charge
0.4478,0.005000,charge
0.4505,0.005000,charge
0.4533,0.005000,charge
0.4561,0.005000,charge
0.4588,0.005000,charge
0.4616,0.005000,charge
0.4644,0.005000,charge
0.4671,0.005000,charge
0.4699,0.005000,charge
0.4727,0.005000,charge
0.4754,0.005000,charge
0.4782,0.005000,charge
0.4809,0.005000,charge
0.4837,0.005000,charge
0.4865,0.005000,charge
0.4892,0.005000,charge
0.4920,0.005000,charge
0.4948,0.005000,charge
0.4975,0.005000,charge
0.5003,0.005000,charge
0.5031,0.005000,charge
0.5058,0.005000,charge
0.5086,0.005000,charge
0.5113,0.005000,charge
0.5141,0.005000,charge
0.5169,0.005000,charge
0.5196,0.005000,charge
0.5224,0.005000,charge
0.5252,0.005000,charge
0.5279,0.005000,charge
0.5307,0.005000,charge
0.5335,0.005000,charge
0.5362,0.005000,charge
0.5390,0.005000,charge
0.5417,0.005000,charge
0.5445,0.005000,charge
0.5473,0.005000,charge
0.5500,0.005000,charge
0.5528,0.005000,charge
0.5556,0.005000,charge
0.5583,0.005000,charge
0.5611,0.005000,charge
0.5639,0.005000,charge
0.5666,0.005000,charge
0.5694,0.005000,charge
0.5722,0.005000,charge
0.5749,0.005000,charge
0.5777,0.005000,charge
0.5804,0.005000,charge
0.5832,0.005000,charge
0.5860,0.005000,charge
0.5887,0.005000,charge
0.5915,0.005000,charge
0.5943,0.005000,charge
0.5970,0.005000,charge
0.5998,0.005000,charge
0.6026,0.005000,charge
0.6053,0.005000,charge
0.6081,0.005000,charge
0.6108,0.005000,charge
0.6136,0.005000,charge
0.6164,0.005000,charge
0.6191,0.005000,charge
0.6219,0.005000,charge
0.6247,0.005000,charge
0.6274,0.005000,charge
0.6302,0.005000,charge
0.6330,0.005000,charge
0.6357,0.005000,charge
0.6385,0.005000,charge
0.6412,0.005000,charge
0.6440,0.005000,charge
0.6468,0.005000,charge
0.6495,0.005000,charge
0.6523,0.005000,charge
0.6551,0.005000,charge
0.6578,0.005000,charge
0.6606,0.005000,charge
0.6634,0.005000,charge
0.6661,0.005000,charge
0.6689,0.005000,charge
0.6717,0.005000,charge
0.6744,0.005000,charge
0.6772,0.005000,charge
0.6799,0.005000,charge
0.6827,0.005000,charge
0.6855,0.005000,charge
0.6882,0.005000,charge
0.6910,0.005000,charge
0.6938,0.005000,charge
0.6965,0.005000,charge
0.6993,0.005000,charge
0.7021,0.005000,charge
0.7048,0.005000,charge
0.7076,0.005000,charge
0.7103,0.005000,charge
0.7131,0.005000,charge
0.7159,0.005000,charge
0.7186,0.005000,charge
0.7214,0.005000,charge
0.7242,0.005000,charge
0.7269,0.005000,charge
0.7297,0.005000,charge
0.7325,0.005000,charge
0.7352,0.005000,charge
0.7380,0.005000,charge
0.7407,0.005000,charge
0.7435,0.005000,charge
0.7463,0.005000,charge
0.7490,0.005000,charge
0.7518,0.005000,charge
0.7546,0.005000,charge
0.7573,0.005000,charge
0.7601,0.005000,charge
0.7629,0.005000,charge
0.7656,0.005000,charge
0.7684,0.005000,charge
0.7712,0.005000,charge
0.7739,0.005000,charge
0.7767,0.005000,charge
0.7794,0.005000,charge
0.7822,0.005000,charge
0.7850,0.005000,charge
0.7877,0.005000,charge
0.7905,0.005000,charge
0.7933,0.005000,charge
0.7960,0.005000,charge
0.7988,0.005000,charge
0.8016,0.005000,charge
0.8043,0.005000,charge
0.8071,0.005000,charge
0.8098,0.005000,charge
0.8126,0.005000,charge
0.8154,0.005000,charge
0.8181,0.005000,charge
0.8209,0.005000,charge
0.8237,0.005000,charge
0.8264,0.005000,charge
0.8292,0.005000,charge
0.8320,0.005000,charge
0.8347,0.005000,charge
0.8375,0.005000,charge
0.8402,0.005000,charge
0.8430,0.005000,charge
0.8458,0.005000,charge
0.8485,0.005000,charge
0.8513,0.005000,charge
0.8541,0.005000,charge
0.8568,0.005000,charge
0.8596,0.005000,charge
0.8624,0.005000,charge
0.8651,0.005000,charge
0.8679,0.005000,charge
0.8707,0.005000,charge
0.8734,0.005000,charge
0.8762,0.005000,charge
0.8789,0.005000,charge
0.8817,0.005000,charge
0.8845,0.005000,charge
0.8872,0.005000,charge
0.8900,0.005000,charge
0.8928,0.005000,charge
0.8955,0.005000,charge
0.8983,0.005000,charge
0.9011,0.005000,charge
0.9038,0.005000,charge
0.9066,0.005000,charge
0.9093,0.005000,charge
0.9121,0.005000,charge
0.9149,0.005000,charge
0.9176,0.005000,charge
0.9204,0.005000,charge
0.9232,0.005000,charge
0.9259,0.005000,charge
0.9287,0.005000,charge
0.9315,0.005000,charge
0.9342,0.005000,charge
0.9370,0.005000,charge
0.9397,0.005000,charge
0.9425,0.005000,charge
0.9453,0.005000,charge
0.9480,0.005000,charge
0.9508,0.005000,charge
0.9536,0.005000,charge
0.9563,0.005000,charge
0.9591,0.005000,charge
0.9619,0.005000,charge
0.9646,0.005000,charge
0.9674,0.005000,charge
0.9702,0.005000,charge
0.9729,0.005000,charge
0.9757,0.005000,charge
0.9784,0.005000,charge
0.9812,0.005000,charge
0.9840,0.005000,charge
0.9867,0.005000,charge
0.9895,0.005000,charge
0.9923,0.005000,charge
