t,i_meas,v_meas,T_true,soc_true,soc_est,soc_std,v_pred,soc_lower,soc_upper,capacity_est,capacity_true,v_true
159,-5.02,3.656,298.69,0.243961,0.243973,-1,3.65721,nan,nan,nan,4.99725,3.65618
160,-4.92,3.657,298.693,0.244238,0.24425,-1,3.65663,nan,nan,nan,4.99724,3.65654
161,-4.99,3.658,298.696,0.244514,0.244526,-1,3.6572,nan,nan,nan,4.99723,3.6569
162,-5.02,3.655,298.699,0.244791,0.244803,-1,3.65812,nan,nan,nan,4.99722,3.65727
163,-5.05,3.658,298.702,0.245067,0.24508,-1,3.65877,nan,nan,nan,4.99721,3.65763
164,-4.97,3.656,298.706,0.245344,0.245356,-1,3.65804,nan,nan,nan,4.9972,3.65799
165,-5,3.658,298.709,0.245621,0.245633,-1,3.65862,nan,nan,nan,4.99719,3.65835
166,-5.03,3.66,298.712,0.245897,0.245909,-1,3.65968,nan,nan,nan,4.99718,3.65871
167,-5.03,3.659,298.715,0.246174,0.246185,-1,3.65989,nan,nan,nan,4.99717,3.65907
168,-5.08,3.662,298.718,0.24645,0.246461,-1,3.66006,nan,nan,nan,4.99716,3.65943
169,-5,3.661,298.722,0.246727,0.246737,-1,3.66002,nan,nan,nan,4.99715,3.65978
170,-5.07,3.659,298.725,0.247003,0.247013,-1,3.66102,nan,nan,nan,4.99714,3.66014
171,-4.97,3.657,298.728,0.24728,0.24729,-1,3.65999,nan,nan,nan,4.99713,3.6605
172,-5.04,3.66,298.731,0.247556,0.247567,-1,3.66112,nan,nan,nan,4.99712,3.66086
173,-4.98,3.663,298.734,0.247833,0.247844,-1,3.66093,nan,nan,nan,4.99711,3.66121
174,-4.99,3.662,298.737,0.248109,0.24812,-1,3.66154,nan,nan,nan,4.9971,3.66157
175,-4.99,3.662,298.74,0.248386,0.248397,-1,3.66193,nan,nan,nan,4.99709,3.66192
176,-5,3.665,298.743,0.248663,0.248674,-1,3.66245,nan,nan,nan,4.99708,3.66228
177,-5.01,3.663,298.746,0.248939,0.248951,-1,3.66328,nan,nan,nan,4.99707,3.66263
178,-5.11,3.663,298.75,0.249216,0.249228,-1,3.66528,nan,nan,nan,4.99707,3.66298
179,-4.94,3.664,298.753,0.249492,0.249505,-1,3.663,nan,nan,nan,4.99706,3.66334
180,-5.02,3.665,298.756,0.249769,0.249781,-1,3.66489,nan,nan,nan,4.99705,3.66369
181,-5,3.662,298.759,0.250045,0.250058,-1,3.66455,nan,nan,nan,4.99704,3.66404
182,-5,3.663,298.762,0.250322,0.250336,-1,3.66459,nan,nan,nan,4.99703,3.66439
183,-5.02,3.665,298.765,0.250598,0.250613,-1,3.66496,nan,nan,nan,4.99702,3.66474
